Reference, Quantity, Value, Footprint, Datasheet, Digi-Key Part, LCSC Part #
D1 ,1,"RED LED","LED_THT:LED_D3.0mm","","732-5005-ND",""
D2 ,1,"GREEN LED","LED_THT:LED_D3.0mm","","732-5008-ND",""
D3 ,1,"YELLOW LED","LED_THT:LED_D3.0mm","","732-5010-ND",""
J1 ,1,"EXP","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical_SMD","","S2011EC-05-ND","C178296"
J2 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical","","2073-USB3131-30-0230-ACT-ND",""
J3 ,1,"USB_A","sputterizer:USB_A_Amphenol_UE27AE54100_Vertical"," ~","UE27AE54100-ND","C386737"
Q1 Q2 Q4 ,3,"MMBT3906","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","MMBT3906LT1GOSCT-ND","C266589"
Q3 ,1,"2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","2N7002LT1GOSCT-ND","C8545"
R1 R4 ,2,"620","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RMCF0805FT620RCT-ND","C17782"
R2 R5 R7 R8 ,4,"30K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RMCF0805FT30K0CT-ND","C17621"
R3 ,1,"1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","311-1.00KCRCT-ND","C17513"
R6 R9 ,2,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RMCF0805FT10K0CT-ND","C17414"
SW1 ,1,"Reset","Button_Switch_THT:SW_PUSH_6mm","","450-1940-ND",""
