"Reference","Quantity","Value","Digi-Key Part #"
"D1, ","1","RED LED","732-5005-ND"
"D2, ","1","GREEN LED","732-5008-ND"
"D3, ","1","YELLOW LED","732-5010-ND"
"J1, ","1","EXP","S2011EC-05-ND"
"J2, ","1","USB_B_Micro","2073-USB3131-30-0230-ACT-ND"
"J3, ","1","USB_A","UE27AE54100-ND"
"Q1, Q2, Q4, ","3","MMBT3906","MMBT3906LT1GOSCT-ND"
"Q3, ","1","2N7002","2N7002LT1GOSCT-ND"
"R1, R4, ","2","620","RMCF0805FT620RCT-ND"
"R2, R5, R7, R8, ","4","30K","RMCF0805FT30K0CT-ND"
"R3, ","1","1K","311-1.00KCRCT-ND"
"R6, R9, ","2","10K","RMCF0805FT10K0CT-ND"
"SW1, ","1","Reset","450-1940-ND"
