Ref,Val,Package,PosX,PosY,Rot,Side
"J1","EXP","PinHeader_2x05_P2.54mm_Vertical",-53.730000,-98.500000,0.000000,bottom
"J3","USB_A","USB_A_Amphenol_UE27AE54100_Vertical",-55.625000,-123.325000,90.000000,bottom
"Q1","MMBT5401","SOT-23",-55.325000,-109.125000,0.000000,bottom
"Q2","MMBT5401","SOT-23",-55.275000,-81.975000,0.000000,bottom
"Q3","2N7000","SOT-23",-52.200000,-134.600000,-90.000000,bottom
"Q4","MMBT5401","SOT-23",-57.575000,-134.825000,180.000000,bottom
"R1","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-51.275000,-104.000000,-90.000000,bottom
"R2","43K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-52.200000,-109.075000,-90.000000,bottom
"R3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-51.850000,-142.400000,90.000000,bottom
"R4","200","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-51.225000,-71.500000,-90.000000,bottom
"R5","43K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-55.350000,-78.275000,180.000000,bottom
"R6","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-51.850000,-138.550000,90.000000,bottom
"R7","30K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-53.150000,-130.650000,90.000000,bottom
"R8","43K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-58.575000,-138.575000,90.000000,bottom
"R9","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-54.875000,-137.650000,0.000000,bottom
