"Reference","Quantity","Value","Digi-Key Part #"
"A1, ","1","Nano_33IoT","1050-ABX00032-ND"
"C1, C2, C18, C19, ","4","10nF","BC2662CT-ND"
"C3, C4, ","2","100uF","1189-3982-ND"
"C5, C6, C7, C9, C12, C13, C17, C20, ","8","100nF","399-9877-1-ND"
"C8, C10, C14, C21, ","4","1uF","399-9886-1-ND"
"C11, C15, ","2","2.2uF","478-12960-1-ND"
"C16, ","1","270p","490-7362-1-ND"
"D1, D2, D7, D15, D16, D19, D20, ","7","1N5711","497-2499-1-ND"
"D3, ","1","GREEN LED","732-5008-ND"
"D4, ","1","BLUE LED","732-11401-ND"
"D5, ","1","YELLOW LED","160-1961-ND"
"D6, D13, ","2","1N4148","1N4148VSCT-ND"
"D8, ","1","1N5819","497-2499-1-ND"
"D9, ","1","1N5819","497-2499-1-ND"
"D14, ","1","RED LED","160-1035-ND"
"J1, J3, J4, J5, J6, ","5","3.5mm Jack","WM17366-ND"
"J2, J7, ","2","2x5 Header","S2011EC-05-ND"
"J9, ","1","Display Header","SAM1011-04-ND"
"J11, ","1","OLED Pins","732-5317-ND"
"J12, J13, ","2","Arduino Socket","S7048-ND"
"J14, ","1","Eurorack Power Cable","H3CCS-1618G-ND"
"KN1, ","1","Selector Knob","226-4215-ND"
"KN2, ","1","CV Knob","1722-1314-ND"
"N2, N3, N4, N5, N6, N7, ","6","Nut","36-4687-ND"
"Q1, ","1","2N3904","2N3904FS-ND"
"R1, R5, R6, R11, R15, R22, ","6","10K","CF14JT10K0CT-ND"
"R2, R3, R4, R10, R14, ","5","1K","CF14JT1K00CT-ND"
"R7, R12, R24, R26, R27, R31, ","6","100K .1%","A105968CT-ND"
"R8, ","1","100K","2019-CF1/4CT52R104JCT-ND"
"R9, R13, ","2","43K","CF14JT43K0CT-ND"
"R17, ","1","324K 1%","324KXBK-ND"
"R18, ","1","68K","CF14JT68K0CT-ND"
"R19, R20, ","2","470","PPC470W-1CT-ND"
"R23, R28, ","2","300K .1%","RN55E3003BB14-ND"
"R29, ","1","200K .1%","CMF200KHCCT-ND"
"R30, ","1","95.3K 1%","RNF14FTD95K3CT-ND"
"RV1, ","1","1K","PTV09A-4225F-B102-ND"
"RV2, RV3, ","2","20K","490-2881-ND"
"SC2, SC4, SC6, SC8, ","4","Nylon Screw","36-29331-ND"
"SC3, SC5, SC7, SC9, ","4","Mounting Screw","335-1156-ND"
"SK1, SK2, SK3, SK5, ","4","A_08-LC-TT","AE9986-ND"
"SK4, ","1","A_14-LC-TT","AE9989-ND"
"SO2, SO3, SO5, SO7, ","4","Standoff 12mm","732-13063-ND"
"SO4, SO6, ","2","Standoff 10mm","732-13055-ND"
"SO8, SO9, SO10, SO11, SO12, ","5","LED_Standoff","732-11607-ND"
"SW1, ","1","Adj","987-1187-ND"
"SW2, SW3, SW4, SW5, SW6, SW7, SW8, ","7","Push Button","450-1643-ND"
"TP1, TP2, TP3, TP4, ","4","TestPoint","36-5006-ND"
"U1, U3, ","2","TL072CP","296-1775-5-ND"
"U2, ","1","CD4013BE","296-2033-5-ND"
"U4, ","1","MC78L05_TO92","296-27135-1-ND"
"U5, ","1","LP2950-3.3_TO92","296-26120-ND"
"U6, ","1","MAX7480","MAX7480EPA+-ND"
"U7, ","1","MB85RC256","865-1261-1-ND"
"U8, ","1","MCP6002-E/P","MCP6002-E/P-ND"
