"Reference","Quantity","Value","Digi-Key Part #"
"A1, ","1","Nano_33IoT","1050-ABX00032-ND"
"C16, ","1","270p","490-7362-1-ND"
"C20, ","1","100nF","399-9877-1-ND"
"D3, ","1","GREEN LED","732-5008-ND"
"D4, ","1","BLUE LED","732-11401-ND"
"D5, ","1","YELLOW LED","160-1961-ND"
"D14, ","1","RED LED","160-1035-ND"
"J1, J3, J4, J5, J6, ","5","3.5mm Jack","WM17366-ND"
"J2, J7, ","2","2x5 Header","S2011EC-05-ND"
"J9, ","1","Display Header","SAM1011-04-ND"
"J10, ","1","FRAM Pins","732-5321-ND"
"J11, ","1","OLED Pins","732-5317-ND"
"J12, J13, ","2","Arduino Socket","S7048-ND"
"J14, ","1","Eurorack Power Cable","H3CCS-1618G-ND"
"KN1, ","1","Selector Knob","226-4215-ND"
"KN2, ","1","CV Knob","1722-1241-ND"
"M1, ","1","FRAM_Module","1528-1035-ND"
"N1, N2, N3, N4, N5, N6, N7, ","7","Nut","36-4687-ND"
"RV1, ","1","1K","PTV09A-4225F-B102-ND"
"RV2, ","1","20K","490-2881-ND"
"RV3, ","1","10K","490-2875-ND"
"SC1, SC2, SC4, SC6, SC8, ","5","Nylon Screw","36-29331-ND"
"SC3, SC5, SC7, SC9, ","4","Mounting Screw","335-1156-ND"
"SK1, SK2, SK3, ","3","A_08-LC-TT","AE9986-ND"
"SK4, ","1","A_14-LC-TT","AE9989-ND"
"SO1, ","1","Standoff 7mm","732-13045-ND"
"SO2, SO3, SO5, SO7, ","4","Standoff 12mm","732-13063-ND"
"SO4, SO6, ","2","Standoff 10mm","732-13055-ND"
"SO8, SO9, SO10, SO11, SO12, ","5","LED_Standoff","732-11607-ND"
"SW1, ","1","Adj","987-1187-ND"
"TP1, TP2, TP3, TP4, ","4","TestPoint","36-5006-ND"
"U1, U3, ","2","TL072CP","296-1775-5-ND"
"U2, ","1","CD4013BE","296-2033-5-ND"
"U6, ","1","MAX7480","MAX7480EPA+-ND"
