"Reference","Quantity","Value","Footprint","JLCPCB Part #"
"C1, C2, C18, C19, ","4","10nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C162686"
"C3, C4, ","2","100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","C88859"
"C5, C6, C7, C9, C12, C13, C17, C21, ","8","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C400087"
"C8, C10, C14, ","3","1uF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C94708"
"C11, C15, ","2","2.2uF","sputterizer:CP_Radial_Tantal_D4.5mm_P5.00mm_Min","C50520"
"D1, D2, D7, D15, D16, D19, D20, ","7","1N5711","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","C283247"
"D6, D13, ","2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","C84412"
"D8, ","1","1N5711","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp","C283247"
"D9, ","1","1N5711","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","C283247"
"Q1, ","1","2N3904","digikey-footprints:TO-92-3_Formed_Leads","C94514"
"Q2, Q4, ","2","VP2106/ZVP3306A","digikey-footprints:TO-92-3_Formed_Leads","C211372"
"Q3, Q5, Q7, Q8, ","4","2N7000","digikey-footprints:TO-92-3_Formed_Leads","C9114"
"R1, R6, R11, R15, ","4","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C433778"
"R2, R3, R4, R5, R14, R21, ","6","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C66649"
"R7, R12, R24, R26, R27, ","5","100K .1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C410694"
"R8, R10, ","2","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C120103"
"R9, R13, ","2","43K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C433719"
"R16, ","1","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","C120103"
"R17, ","1","316K 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C172901"
"R18, R22, ","2","68K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C70783"
"R19, R20, ","2","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C129899"
"R23, R28, ","2","300K .1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C173001"
"R29, ","1","200K .1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C172982"
"R30, ","1","95.3K 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","C172602"
"R31, ","1","100K .1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","C410694"
"SW2, SW3, SW4, SW5, SW6, SW7, SW8, ","7","Push Button","Button_Switch_THT:SW_PUSH_6mm","C266209"
"U1, U3, ","2","TL072CP","Package_DIP:DIP-8_W7.62mm_Socket","C72124"
"U2, ","1","CD4013BE","Package_DIP:DIP-14_W7.62mm_Socket","C132508"
"U4, ","1","MC78L05_TO92","Package_TO_SOT_THT:TO-92_Inline_Wide","C156437"
"U5, ","1","LP2950-3.3_TO92","digikey-footprints:TO-92-3_Formed_Leads","C133551"
"U6, ","1","MAX7480","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","C72124"
