Ref,Val,Package,PosX,PosY,Rot,Side
"C16","270p","C_Rect_L4.0mm_W2.5mm_P2.50mm",-7.874000,67.868800,-90.000000,bottom
"C20","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",-22.860000,83.515200,90.000000,bottom
"D8","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",0.300000,87.640000,90.000000,bottom
"D9","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",-4.450000,97.800000,180.000000,bottom
"J2","Euro Power","PinHeader_2x05_P2.54mm_Vertical",2.020000,74.410000,0.000000,bottom
"J7","Expansion Header","PinHeader_2x05_P2.54mm_Vertical",-7.850000,97.500000,0.000000,bottom
"J8","FRAM Header","PinHeader_1x8_P2.54mm_Drill1.02mm",-53.610000,51.510000,90.000000,bottom
"J12","Arduino Socket","ArduinoConnector",-33.500000,9.500000,0.000000,bottom
"J13","Arduino Socket","ArduinoConnector",-48.740000,9.500000,0.000000,bottom
"RV2","20K","Potentiometer_Bourns_3266Y_Vertical",-16.000000,83.000000,-90.000000,bottom
"RV3","10K","Potentiometer_Bourns_3266Y_Vertical",-27.500000,76.500000,0.000000,bottom
"TP2","TestPoint","TestPoint_Keystone_5005-5009_Compact",-41.620000,104.570000,0.000000,bottom
"TP3","TestPoint","TestPoint_Keystone_5005-5009_Compact",2.300000,23.500000,0.000000,bottom
"TP4","TestPoint","TestPoint_Keystone_5005-5009_Compact",-19.100000,74.000000,0.000000,bottom
