Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",26.000000,41.000000,0.000000,top
"C2","10nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",23.500000,41.000000,180.000000,top
"C3","100uF","CP_Radial_D8.0mm_P3.50mm",1.280000,100.180000,180.000000,top
"C4","100uF","CP_Radial_D8.0mm_P3.50mm",-2.040000,91.020000,0.000000,top
"C5","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",18.500000,94.450000,180.000000,top
"C6","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",18.500000,97.050000,180.000000,top
"C7","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",10.700000,40.750000,0.000000,top
"C8","330nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",11.000000,57.500000,0.000000,top
"C9","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",44.700000,25.700000,180.000000,top
"C10","330nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",43.484800,4.572000,180.000000,top
"C11","2.2uF","CP_Radial_Tantal_D4.5mm_P5.00mm_Min",-2.250000,39.500000,-90.000000,top
"C12","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",27.400000,24.300000,90.000000,top
"C13","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",16.600000,16.650000,90.000000,top
"C14","1uF","C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",-2.500000,30.250000,-90.000000,top
"C15","2.2uF","CP_Radial_Tantal_D4.5mm_P5.00mm_Min",-2.250000,49.750000,90.000000,top
"C17","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",-2.470000,71.080000,0.000000,top
"C18","10nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",30.500000,9.000000,-90.000000,top
"C19","10nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",49.022000,63.754000,180.000000,top
"D1","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",53.230000,45.520000,-90.000000,top
"D2","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",-2.794000,9.652000,-90.000000,top
"D3","GREEN LED","LED_D3.0mm",46.160000,101.500000,0.000000,top
"D4","BLUE LED","LED_D3.0mm",46.160000,71.500000,0.000000,top
"D5","YELLOW LED","LED_D3.0mm",3.000000,44.000000,0.000000,top
"D6","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",53.230000,28.000000,90.000000,top
"D7","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",-2.794000,19.812000,-90.000000,top
"D13","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",41.500000,2.000000,180.000000,top
"D14","RED LED","LED_D3.0mm",26.470000,34.700000,180.000000,top
"D15","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",53.086000,24.892000,-90.000000,top
"D16","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",53.086000,14.732000,-90.000000,top
"D19","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",15.930000,53.460000,-90.000000,top
"D20","BAT46","D_DO-35_SOD27_P7.62mm_Horizontal",15.970000,43.460000,180.000000,top
"J1","3.5mm Jack","Molex-0472570001",4.500000,52.500000,90.000000,top
"J3","3.5mm Jack","Molex-0472570001",46.000000,93.000000,90.000000,top
"J4","3.5mm Jack","Molex-0472570001",46.000000,80.000000,90.000000,top
"J5","3.5mm Jack","Molex-0472570001",46.000000,52.500000,90.000000,top
"J6","3.5mm Jack","Molex-0472570001",4.500000,25.500000,90.000000,top
"J9","Display Header","OLED_Header_Slim",21.440000,98.000000,0.000000,top
"Q2","VP2106","TO-92-3_Formed_Leads",31.250000,82.750000,-90.000000,top
"Q3","TN2106","TO-92-3_Formed_Leads",27.360000,80.540000,90.000000,top
"Q4","VP2106","TO-92-3_Formed_Leads",35.250000,94.250000,0.000000,top
